Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,feature_mix_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.05,0.0,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5475127696990967,0.24566221237182617,0.6790571212768555,0.860382080078125,0.812774658203125,0.703216552734375,0.9370260238647461,0.00816311314702034
year,NLL,Cov90,0.12,0.05,0.0,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.5807714462280273,0.27892088890075684,0.6790571212768555,0.860382080078125,0.812835693359375,0.703216552734375,0.8569465279579163,0.008394958451390266
year,NLL,Cov90,0.12,0.05,0.0,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.5488765239715576,0.2470259666442871,0.6790571212768555,0.860382080078125,0.813507080078125,0.703216552734375,0.883330225944519,0.008109256625175476
year,NLL,Cov90,0.12,0.05,0.0,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.595888376235962,0.2940378189086914,0.6790571212768555,0.860382080078125,0.80682373046875,0.703216552734375,0.6741197109222412,0.008367540314793587
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.9417297840118408,0.6398792266845703,0.6790571212768555,0.860382080078125,0.79241943359375,0.703216552734375,0.22164925932884216,0.6806126832962036
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,2.3462581634521484,1.044407606124878,0.6790571212768555,0.860382080078125,0.78057861328125,0.703216552734375,0.019413210451602936,0.6548559069633484
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,2.048480749130249,0.7466301918029785,0.6790571212768555,0.860382080078125,0.78924560546875,0.703216552734375,0.11922383308410645,0.6885221004486084
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.9324383735656738,0.6305878162384033,0.6790571212768555,0.860382080078125,0.791259765625,0.703216552734375,0.012339305132627487,0.6346079111099243
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7206168174743652,0.4187662601470947,0.6790571212768555,0.860382080078125,0.812164306640625,0.703216552734375,0.2529371380805969,0.6028929948806763
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.984068512916565,0.6822179555892944,0.6790571212768555,0.860382080078125,0.799285888671875,0.703216552734375,0.033747222274541855,0.5928323268890381
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8035790920257568,0.5017285346984863,0.6790571212768555,0.860382080078125,0.808074951171875,0.703216552734375,0.13938432931900024,0.615714430809021
year,NLL,Cov90,0.12,0.05,0.0,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.728226661682129,0.4263761043548584,0.6790571212768555,0.860382080078125,0.828857421875,0.703216552734375,0.014149148017168045,0.5208418965339661
year,NLL,Cov90,0.12,0.05,0.0,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.936255931854248,0.6344053745269775,0.6790571212768555,0.860382080078125,0.802520751953125,0.703216552734375,0.10855560004711151,1.076326847076416
year,NLL,Cov90,0.12,0.05,0.0,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.974048137664795,0.6721975803375244,0.6790571212768555,0.860382080078125,0.799224853515625,0.703216552734375,0.008636538870632648,1.0484843254089355
