Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.6029186248779297,0.3010680675506592,0.6790571212768555,0.860382080078125,0.819549560546875,0.703216552734375,0.00704544223845005,0.4171455502510071
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8213560581207275,0.519505500793457,0.6790571212768555,0.860382080078125,0.785247802734375,0.703216552734375,0.928370475769043,0.00937260128557682
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.7726283073425293,0.4707777500152588,0.6790571212768555,0.860382080078125,0.79412841796875,0.703216552734375,0.8269671201705933,0.009480560198426247
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8482556343078613,0.5464050769805908,0.6790571212768555,0.860382080078125,0.784759521484375,0.703216552734375,0.866419792175293,0.009438643231987953
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.8581840991973877,0.5563335418701172,0.6790571212768555,0.860382080078125,0.78326416015625,0.703216552734375,0.6348304152488708,0.009543626569211483
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5475127696990967,0.24566221237182617,0.6790571212768555,0.860382080078125,0.812774658203125,0.703216552734375,0.9370260238647461,0.00816311314702034
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.5807714462280273,0.27892088890075684,0.6790571212768555,0.860382080078125,0.812835693359375,0.703216552734375,0.8569465279579163,0.008394958451390266
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.5488765239715576,0.2470259666442871,0.6790571212768555,0.860382080078125,0.813507080078125,0.703216552734375,0.883330225944519,0.008109256625175476
year,NLL,Cov90,0.12,0.05,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.595888376235962,0.2940378189086914,0.6790571212768555,0.860382080078125,0.80682373046875,0.703216552734375,0.6741197109222412,0.008367540314793587
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7838499546051025,0.48199939727783203,0.6790571212768555,0.860382080078125,0.788848876953125,0.703216552734375,0.38446497917175293,0.2985428273677826
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.8718459606170654,0.5699954032897949,0.6790571212768555,0.860382080078125,0.7916259765625,0.703216552734375,0.08050179481506348,0.2966032028198242
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.9164522886276245,0.614601731300354,0.6790571212768555,0.860382080078125,0.78265380859375,0.703216552734375,0.24319857358932495,0.3053080439567566
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.876668930053711,0.5748183727264404,0.6790571212768555,0.860382080078125,0.793548583984375,0.703216552734375,0.03520284965634346,0.29130399227142334
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.6435199975967407,0.3416694402694702,0.6790571212768555,0.860382080078125,0.807281494140625,0.703216552734375,0.4103795289993286,0.26630014181137085
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.6704204082489014,0.36856985092163086,0.6790571212768555,0.860382080078125,0.82147216796875,0.703216552734375,0.08923026919364929,0.26486265659332275
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.702928900718689,0.40107834339141846,0.6790571212768555,0.860382080078125,0.8055419921875,0.703216552734375,0.26775625348091125,0.2726196050643921
year,NLL,Cov90,0.12,0.05,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.7151093482971191,0.41325879096984863,0.6790571212768555,0.860382080078125,0.810546875,0.703216552734375,0.03559373691678047,0.2593952715396881
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7778520584106445,0.476001501083374,0.6790571212768555,0.860382080078125,0.79132080078125,0.703216552734375,0.24478206038475037,0.4929824471473694
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.8553489446640015,0.553498387336731,0.6790571212768555,0.860382080078125,0.795928955078125,0.703216552734375,0.023236829787492752,0.48649054765701294
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8201591968536377,0.5183086395263672,0.6790571212768555,0.860382080078125,0.784576416015625,0.703216552734375,0.13501249253749847,0.5062713027000427
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.7783992290496826,0.4765486717224121,0.6790571212768555,0.860382080078125,0.806854248046875,0.703216552734375,0.010388492606580257,0.456146240234375
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5299841165542603,0.22813355922698975,0.6790571212768555,0.860382080078125,0.826751708984375,0.703216552734375,0.27351292967796326,0.4394415318965912
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.663630723953247,0.36178016662597656,0.6790571212768555,0.860382080078125,0.82373046875,0.703216552734375,0.030001947656273842,0.4721892178058624
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.538365125656128,0.23651456832885742,0.6790571212768555,0.860382080078125,0.82232666015625,0.703216552734375,0.1563224196434021,0.44925177097320557
year,NLL,Cov90,0.12,0.05,0.2,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.804630994796753,0.5027804374694824,0.6790571212768555,0.860382080078125,0.8248291015625,0.703216552734375,0.010706951841711998,0.3814241886138916
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8136709928512573,0.5118204355239868,0.6790571212768555,0.860382080078125,0.78924560546875,0.703216552734375,0.7681001424789429,0.03789383918046951
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.8678656816482544,0.5660151243209839,0.6790571212768555,0.860382080078125,0.786407470703125,0.703216552734375,0.43943214416503906,0.037976235151290894
year,NLL,Cov90,0.12,0.1,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8014891147613525,0.49963855743408203,0.6790571212768555,0.860382080078125,0.79083251953125,0.703216552734375,0.6285873651504517,0.0381225124001503
