Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement,MeanTeacherObjective,MeanTeacherMinusSupervised,MeanTeacherExtra,SupervisedNLL_ID,SAGENLL_ID,SupervisedRMSE_OOD,SAGERMSE_OOD
year,260415,NLL,Cov90,2.1610584259033203,1.8954360485076904,4.606926441192627,-0.2656223773956299,2.4458680152893066,0.825897216796875,0.81732177734375,0.526824951171875,0.2372833490371704,0.8961607813835144,3.3087615966796875,1.1477031707763672,0.734100341796875,,,,
higgs_public,260415,NLL_OOD,Cov90_OOD,133.3427734375,7.063384056091309,484.619140625,-126.27938938140869,351.2763671875,0.5987914800643921,0.5095459222793579,0.25947266817092896,0.2597735822200775,1.6951305866241455,247.3005828857422,113.95780944824219,0.5415893793106079,1.434493899345398,1.3108375072479248,2.00512957572937,2.23952317237854
year,260416,NLL,Cov90,2.274526834487915,1.9393904209136963,4.30448055267334,-0.33513641357421875,2.029953718185425,0.805877685546875,0.793548583984375,0.51092529296875,0.22386419773101807,0.9799469709396362,3.2403392791748047,0.9658124446868896,0.713958740234375,,,,
higgs_public,260416,NLL_OOD,Cov90_OOD,33.292091369628906,6.953815460205078,378.81842041015625,-26.338275909423828,345.52632904052734,0.6634155511856079,0.506823718547821,0.07329101860523224,0.24968406558036804,1.3143882751464844,176.2413330078125,142.9492416381836,0.538500964641571,1.2613252401351929,1.6687934398651123,1.988088607788086,2.266009569168091
year,260417,NLL,Cov90,1.863329529762268,1.6187751293182373,4.362628936767578,-0.24455440044403076,2.49929940700531,0.811126708984375,0.810821533203125,0.52001953125,0.21992163360118866,0.9777450561523438,2.8348238468170166,0.9714943170547485,0.72235107421875,,,,
higgs_public,260417,NLL_OOD,Cov90_OOD,27.29268455505371,6.497688293457031,423.5384826660156,-20.79499626159668,396.2457981109619,0.625195324420929,0.510510265827179,0.16978760063648224,0.33346572518348694,1.1877418756484985,134.75393676757812,107.46125221252441,0.5296386480331421,1.1766526699066162,1.4749891757965088,1.9663277864456177,2.238738775253296
year,260418,NLL,Cov90,1.8188941478729248,1.733813762664795,4.407472133636475,-0.08508038520812988,2.58857798576355,0.81353759765625,0.8062744140625,0.52850341796875,0.21411296725273132,1.0041654109954834,2.6760244369506836,0.8571302890777588,0.733001708984375,,,,
higgs_public,260418,NLL_OOD,Cov90_OOD,5.770021915435791,6.460156440734863,525.4378051757812,0.6901345252990723,519.6677832603455,0.6213744878768921,0.511889636516571,0.05841064453125,0.3502647578716278,0.6155359745025635,54.90925216674805,49.139230251312256,0.5163329839706421,1.1605298519134521,1.5593016147613525,2.007066488265991,2.2198991775512695
year,260419,NLL,Cov90,1.563647747039795,1.4519037008285522,4.092540264129639,-0.11174404621124268,2.5288925170898438,0.8316650390625,0.828765869140625,0.5361328125,0.23919925093650818,0.8558423519134521,2.3954930305480957,0.8318452835083008,0.745758056640625,,,,
higgs_public,260419,NLL_OOD,Cov90_OOD,69.36378479003906,7.086167812347412,443.505126953125,-62.27761697769165,374.14134216308594,0.611889660358429,0.5108276605606079,0.20440673828125,0.3089929521083832,1.2272495031356812,267.16546630859375,197.8016815185547,0.504650890827179,1.5447317361831665,1.5789742469787598,2.012593984603882,2.2596688270568848
