Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.18,0.02,0.0,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.4539661407470703,0.1521155834197998,0.8931231498718262,0.860382080078125,0.8282470703125,0.649017333984375,0.9926020503044128,0.0013458924368023872
year,NLL,Cov90,0.18,0.02,0.0,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.5026357173919678,0.20078516006469727,0.8931231498718262,0.860382080078125,0.80938720703125,0.649017333984375,0.9851402640342712,0.0013637274969369173
year,NLL,Cov90,0.18,0.02,0.0,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.6806690692901611,0.3788185119628906,0.8931231498718262,0.860382080078125,0.80010986328125,0.649017333984375,0.983605146408081,0.0013622493715956807
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.7457494735717773,0.44389891624450684,0.8931231498718262,0.860382080078125,0.78350830078125,0.649017333984375,0.48515716195106506,0.26760441064834595
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,2.0794548988342285,0.777604341506958,0.8931231498718262,0.860382080078125,0.770843505859375,0.649017333984375,0.16069185733795166,0.3132316470146179
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.9513689279556274,0.6495183706283569,0.8931231498718262,0.860382080078125,0.771636962890625,0.649017333984375,0.334514856338501,0.28101861476898193
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,1.8126192092895508,0.5107686519622803,0.8931231498718262,0.860382080078125,0.79913330078125,0.649017333984375,0.07094918936491013,0.31289857625961304
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.648482322692871,0.3466317653656006,0.8931231498718262,0.860382080078125,0.801727294921875,0.649017333984375,0.5153059959411621,0.2545481026172638
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.9266798496246338,0.6248292922973633,0.8931231498718262,0.860382080078125,0.789398193359375,0.649017333984375,0.18162834644317627,0.24015557765960693
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.6586805582046509,0.35683000087738037,0.8931231498718262,0.860382080078125,0.804290771484375,0.649017333984375,0.37856924533843994,0.264742910861969
year,NLL,Cov90,0.18,0.02,0.1,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.9758789539337158,0.6740283966064453,0.8931231498718262,0.860382080078125,0.805908203125,0.649017333984375,0.07261468470096588,0.24997057020664215
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.784013271331787,0.4821627140045166,0.8931231498718262,0.860382080078125,0.789154052734375,0.649017333984375,0.3264865279197693,0.4529189467430115
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,2.161193370819092,0.8593428134918213,0.8931231498718262,0.860382080078125,0.77362060546875,0.649017333984375,0.0459882915019989,0.48231005668640137
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,2.0435190200805664,0.7416684627532959,0.8931231498718262,0.860382080078125,0.78448486328125,0.649017333984375,0.19667819142341614,0.4485122561454773
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,1.9493584632873535,0.647507905960083,0.8931231498718262,0.860382080078125,0.7955322265625,0.649017333984375,0.01049299631267786,0.5056818723678589
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.547788143157959,0.24593758583068848,0.8931231498718262,0.860382080078125,0.80645751953125,0.649017333984375,0.3605164885520935,0.42432230710983276
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.8831676244735718,0.5813170671463013,0.8931231498718262,0.860382080078125,0.7957763671875,0.649017333984375,0.038736552000045776,0.48544418811798096
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.6493134498596191,0.34746289253234863,0.8931231498718262,0.860382080078125,0.80267333984375,0.649017333984375,0.21561221778392792,0.43109130859375
year,NLL,Cov90,0.18,0.02,0.2,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.7894203662872314,0.48756980895996094,0.8931231498718262,0.860382080078125,0.8077392578125,0.649017333984375,0.013895638287067413,0.37887299060821533
year,NLL,Cov90,0.18,0.05,0.0,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.7495163679122925,0.447665810585022,0.8931231498718262,0.860382080078125,0.81134033203125,0.649017333984375,0.9483864307403564,0.009916329756379128
year,NLL,Cov90,0.18,0.05,0.0,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.8876523971557617,0.5858018398284912,0.8931231498718262,0.860382080078125,0.7742919921875,0.649017333984375,0.8972978591918945,0.009943661279976368
year,NLL,Cov90,0.18,0.05,0.0,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.6217111349105835,0.319860577583313,0.8931231498718262,0.860382080078125,0.78875732421875,0.649017333984375,0.8983258605003357,0.010593004524707794
